calDate,connectionStream,adCost,campaignId,clicksCounter,impressionsCounter
2021-10-26 00:00:00.000000 UTC,4580834090943463925.google_ads,19.910912,3569910158619531168,47.0,10669.0
2021-10-17 00:00:00.000000 UTC,4580834090943463925.google_ads,12.29,3569910158619531168,28.0,5626.0
2021-10-06 00:00:00.000000 UTC,4580834090943463925.google_ads,17.83,3569910158619531168,47.0,9639.0
2021-10-19 00:00:00.000000 UTC,4580834090943463925.google_ads,9.35,3569910158619531168,24.0,5849.0
2021-10-28 00:00:00.000000 UTC,4580834090943463925.google_ads,5.83,3569910158619531168,21.0,6841.0
2021-10-11 00:00:00.000000 UTC,4580834090943463925.google_ads,7.23,3569910158619531168,12.0,3956.0
2021-10-03 00:00:00.000000 UTC,4580834090943463925.google_ads,2.29,3569910158619531168,6.0,2182.0
2021-10-12 00:00:00.000000 UTC,4580834090943463925.google_ads,19.95,3569910158619531168,38.0,7064.0
2021-10-29 00:00:00.000000 UTC,4580834090943463925.google_ads,15.360977,3569910158619531168,24.0,5628.0
2021-10-02 00:00:00.000000 UTC,4580834090943463925.google_ads,0.34,3569910158619531168,3.0,2153.0
2021-10-21 00:00:00.000000 UTC,4580834090943463925.google_ads,3.93,3569910158619531168,18.0,2954.0
2021-10-27 00:00:00.000000 UTC,4580834090943463925.google_ads,20.39,3569910158619531168,39.0,10978.0
2021-10-01 00:00:00.000000 UTC,4580834090943463925.google_ads,3.09,3569910158619531168,11.0,2538.0
2021-10-16 00:00:00.000000 UTC,4580834090943463925.google_ads,11.65,3569910158619531168,15.0,3033.0
2021-10-24 00:00:00.000000 UTC,4580834090943463925.google_ads,1.53922,3569910158619531168,8.0,3778.0
2021-10-23 00:00:00.000000 UTC,4580834090943463925.google_ads,3.94,3569910158619531168,11.0,3683.0
2021-10-15 00:00:00.000000 UTC,4580834090943463925.google_ads,20.0,3569910158619531168,32.0,5712.0
2021-10-04 00:00:00.000000 UTC,4580834090943463925.google_ads,4.36,3569910158619531168,14.0,4641.0
2021-10-22 00:00:00.000000 UTC,4580834090943463925.google_ads,9.16,3569910158619531168,25.0,5090.0
2021-10-10 00:00:00.000000 UTC,4580834090943463925.google_ads,6.07,3569910158619531168,21.0,2806.0
